1,1,789,1,480,1077,1,-1,-1,-1
2,1,866,0,328,1061,1,-1,-1,-1
2,4,690,89,250,714,1,-1,-1,-1
3,1,908,26,275,833,1,-1,-1,-1
3,2,836,119,149,553,1,-1,-1,-1
3,3,1059,54,131,690,1,-1,-1,-1
3,4,570,0,377,887,1,-1,-1,-1
4,1,860,8,233,778,1,-1,-1,-1
4,2,810,8,286,712,1,-1,-1,-1
4,3,1097,0,228,849,1,-1,-1,-1
4,4,167,0,793,1078,1,-1,-1,-1
5,1,996,0,217,783,1,-1,-1,-1
5,2,683,0,273,809,1,-1,-1,-1
5,3,1133,0,440,1079,1,-1,-1,-1
5,4,0,0,649,1078,1,-1,-1,-1
5,5,272,0,464,912,1,-1,-1,-1
6,1,991,23,230,722,1,-1,-1,-1
6,2,148,1,547,1032,1,-1,-1,-1
6,3,1098,1,813,1076,1,-1,-1,-1
7,1,970,78,181,578,1,-1,-1,-1
7,2,0,0,371,1079,1,-1,-1,-1
8,1,960,79,157,526,1,-1,-1,-1
9,6,590,0,595,1078,1,-1,-1,-1
10,1,967,0,273,789,1,-1,-1,-1
10,2,0,294,224,784,1,-1,-1,-1
