1,1,373.76,0.00,754.48,1080.00,1,-1,-1,-1
1,2,914.70,120.20,32.20,240.04,1,-1,-1,-1
1,3,963.25,102.98,105.30,270.54,1,-1,-1,-1
1,4,1092.95,38.85,158.39,424.53,1,-1,-1,-1
1,5,1188.74,16.81,129.89,416.38,1,-1,-1,-1
2,1,373.76,0.00,745.54,1080.00,1,-1,-1,-1
2,2,912.67,119.16,43.23,241.08,1,-1,-1,-1
2,3,963.25,103.66,105.63,269.86,1,-1,-1,-1
2,4,1091.75,39.68,158.64,424.34,1,-1,-1,-1
2,5,1188.14,16.81,130.49,416.58,1,-1,-1,-1
3,1,373.76,0.00,738.44,1080.00,1,-1,-1,-1
3,2,910.65,119.67,45.21,240.57,1,-1,-1,-1
3,3,963.25,104.35,105.96,269.17,1,-1,-1,-1
3,4,1090.54,40.51,158.90,424.14,1,-1,-1,-1
3,5,1187.55,16.81,131.08,416.78,1,-1,-1,-1
4,1,368.43,0.00,738.42,1080.00,1,-1,-1,-1
4,2,908.62,120.17,47.20,240.07,1,-1,-1,-1
4,3,963.25,105.03,106.29,268.49,1,-1,-1,-1
4,4,1089.34,41.33,159.15,423.96,1,-1,-1,-1
4,5,1186.96,16.81,131.67,416.98,1,-1,-1,-1
5,1,363.10,0.00,738.40,1080.00,1,-1,-1,-1
5,2,906.59,120.68,49.19,239.56,1,-1,-1,-1
5,3,963.25,105.72,106.62,267.80,1,-1,-1,-1
5,4,1088.14,42.16,159.40,423.77,1,-1,-1,-1
5,5,1186.36,16.81,132.27,417.19,1,-1,-1,-1
6,1,357.80,0.00,733.00,1080.00,1,-1,-1,-1
6,2,904.56,121.19,51.18,239.05,1,-1,-1,-1
6,3,963.25,106.40,106.95,267.12,1,-1,-1,-1
6,4,1086.93,42.98,159.66,423.58,1,-1,-1,-1
6,5,1185.77,16.81,132.86,417.39,1,-1,-1,-1
7,1,352.50,0.00,729.40,1080.00,1,-1,-1,-1
7,2,902.53,121.70,53.17,238.54,1,-1,-1,-1
